id,title,features,living_area,total_area,plot_area,price,pool,sea_view,garage,location,type,area,price_area,loc_type_mean_price,conta_under,conta_over,over_valued,under_valued,normal,aux1,aux2,aux3,aux4
138731,"ground floor apartment for sale in mansion club, marbella golden mile. magnificient apartment in mansion club, marbella golden m","24h service, air conditioning, brand new, central heating, close to schools, close to town, covered terrace, dining room, double glazing, excellent condition, fitted wardrobes, fully fitted kitchen, garden view, gated community, gym, heated pool, indoor pool, internet - wifi, lift, living room, marble floors, mountainside, private terrace, spa, sauna, sea view, security entrance, security service 24h, storage room, video entrance",163.0,210.0,0.0,630000,1,1,0,Golden Mile,apartments,210.0,3000.0,5135.613262929439,3851.709947197079,6419.516578661798,0,1,0,1,2,3,4
138768,"apartment for sale in el retiro de nagueles, marbella golden mile. luxury modern apartment in retiro de nagueles for an incredib","air conditioning, alarm, close to schools, close to town, covered terrace, dining room, double glazing, electric blinds, excellent condition, fitted wardrobes, fully fitted kitchen, gated community, guest toilet, lift, marble floors, mountain view, mountainside, private terrace, sea view, storage room, surveillance cameras, unfurnished, video entrance, wooden floors",0.0,174.0,0.0,650000,0,1,0,Golden Mile,apartments,174.0,3735.632183908046,5135.613262929439,3851.709947197079,6419.516578661798,0,1,0,1,2,3,4
138771,"apartment for sale in mansion club, marbella golden mile. nice apartment in mansion club, marbella golden mile","air conditioning, fitted wardrobes, fully fitted kitchen, garden view, gated community, gym, heated pool, home automation system, indoor pool, jacuzzi, lift, private terrace, sea view, underfloor heating (throughout)",0.0,173.0,0.0,670000,1,1,0,Golden Mile,apartments,173.0,3872.8323699421967,5135.613262929439,3851.709947197079,6419.516578661798,0,0,1,1,2,3,4
138856,"villa for sale in nagueles, marbella golden mile. charming white dashed villa fully refurbished in nagueles","air conditioning, automatic irrigation system, brand new, close to schools, close to town, covered terrace, dining room, double glazing, fireplace, fitted wardrobes, fully fitted kitchen, garden view, guest toilet, living room, marble floors, mountainside, uncovered terrace, underfloor heating (bathrooms), underfloor heating (partial), video entrance",0.0,210.0,500.0,765000,0,0,0,Golden Mile,houses,210.0,3642.8571428571427,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
138877,"apartment for sale in las cañas beach, marbella golden mile. nice furnished apartment","air conditioning, alarm, amenities near, barbeque, covered terrace, dining room, electric blinds, fireplace, fitted wardrobes, fully fitted kitchen, fully furnished, garden view, gated community, laundry room, lift, living room, marble floors, pool view, private terrace, security entrance, security service 24h, security shutters, transport near, utility room",0.0,120.0,0.0,795000,1,0,0,Golden Mile,apartments,120.0,6625.0,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
138887,"ground floor apartment for sale in nagueles, marbella golden mile. ground floor in retiro nagueles","air conditioning, central heating, close to schools, covered terrace, dining room, double glazing, excellent condition, fully fitted kitchen, gated community, internet - wifi, laundry room, lift, living room, pool view, private terrace, security entrance, storage room, wooden floors",173.0,241.0,0.0,795000,1,0,0,Golden Mile,apartments,241.0,3298.755186721992,5135.613262929439,3851.709947197079,6419.516578661798,0,1,0,1,2,3,4
138939,"apartment for sale in nagueles, marbella golden mile. retiro de nagueles, luxury apartmernt  in marbella.","air conditioning, alarm, amenities near, fully fitted kitchen, fully furnished, guest room, guest toilet, mountain view, parquet floors, private terrace, satellite tv, sea view, telephone, utility room, video entrance",0.0,240.0,0.0,850000,0,1,0,Golden Mile,apartments,240.0,3541.6666666666665,5135.613262929439,3851.709947197079,6419.516578661798,0,1,0,1,2,3,4
138998,"penthouse for sale in mansion club, marbella golden mile. penthouse in mansion club, marbella golden mile","24h service, air conditioning, basement, central heating, covered terrace, dining room, fitted wardrobes, fully fitted kitchen, gym, heated pool, indoor pool, internet - wifi, jacuzzi, kitchen equipped, lift, living room, marble floors, mountainside, pool view, private terrace, sauna, sea view, utility room",163.0,211.0,0.0,895000,1,1,0,Golden Mile,apartments,211.0,4241.706161137441,5135.613262929439,3851.709947197079,6419.516578661798,0,0,1,1,2,3,4
139021,"beach side golden mile, duplex penthouse in alhambra del mar","duplex penthouse in beachfront development, next to 5-star melia don pepe hotel , 30 metres walk to the beach, within walking distance to marbella centre, views of the beautiful gardens with swimming pool, the three bedrooms have bathrooms en suite, off street parking, air conditioning",172.0,300.0,0.0,1170000,1,0,0,Golden Mile,apartments,300.0,3900.0,5135.613262929439,3851.709947197079,6419.516578661798,0,0,1,1,2,3,4
139025,penthouse for sale in marbella golden mile. penthouse in nagueles,"air conditioning, brand new, central heating, dining room, fireplace, fitted wardrobes, garden view, gated community, kitchen equipped, laundry room, lift, marble floors, pool view, private terrace, security service 24h, utility room",0.0,120.0,0.0,900000,1,0,0,Golden Mile,apartments,120.0,7500.0,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
139050,"rocio de nagueles, villa in rocio de nagueles","outstanding villa in secluded location with sea views, approximately 2,3km from the centre of marbella, carport for 3 cars, large outdoor parking space, exterior and interior alarm system, b&amp;o music and tv system, home cinema, electric under floor heating in the bathrooms, gas under floor heating in the guest wing, gas tank, water well for irrigation, water tank, air conditioning, private mature garden with swimming pool",0.0,641.0,2996.0,4250000,1,1,0,Nagüeles,houses,641.0,6630.265210608424,3047.855824614271,2285.8918684607033,3809.819780767839,1,0,0,1,2,3,4
139068,"beach side golden mile, villa in prestigious gated urbanization","in the heart of the golden mile, 300mts from the beach, 1,8 km to marbella city center, 24 hour security, cinema room, master bedroom with jacuzzi, marble and oak wood flooring, tropical wood exterior carpentry, electric shutters, double glazed windows, water tank with pump, gasoil tank, under floor heating throughout , pre installation for satellite in the lounge and master bedroom, individually controlled a/c with heat pump, knx home automation system, sonos sound system, alarm system, exterior surveillance cameras, irrigation system for the garden, swimming pool with saline chlorination , pre installation for pool heating",640.0,775.0,1201.0,7900000,1,0,0,Golden Mile,houses,775.0,10193.548387096775,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
139106,"villa for sale in nagueles, marbella golden mile. villa for sale in nagueles, marbella","air conditioning, alarm, amenities near, barbeque, country view, fireplace, fully fitted kitchen, guest room, kitchen equipped, marble floors, mountain view, mountainside, private terrace, telephone, transport near",0.0,350.0,1050.0,995000,0,0,0,Golden Mile,houses,350.0,2842.8571428571427,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
139113,"rocio de nagueles, villa in nagueles","villa in nagüeles with sea views, approximately  4 km from marbella old town , garage for 3 cars, marble floors, automatic irrigation system, solar panels for hot water, heating by radiators, fireplace in the lounge",0.0,267.0,2060.0,1690000,0,1,1,Nagüeles,houses,267.0,6329.588014981274,3047.855824614271,2285.8918684607033,3809.819780767839,1,0,0,1,2,3,4
139155,"apartment for sale in marbella golden mile. apartment in nagueles, golden mile, marbella","air conditioning, brand new, central heating, covered terrace, dining room, fireplace, fitted wardrobes, gated community, kitchen equipped, laundry room, lift, living room, marble floors, private terrace, utility room",0.0,170.0,0.0,1096000,0,0,0,Golden Mile,apartments,170.0,6447.058823529412,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
139202,"nagueles, lovely villa in nagueles","lovely bungalow style villa in the golden mile, 2km to marbella centre, jacuzzi in the master bathroom, garage for 2 cars, fire place, alarm system, satellite tv, iroko carpentry , marble bathrooms, double glazed windows",0.0,393.0,3859.0,1900000,0,0,1,Nagüeles,houses,393.0,4834.605597964377,3047.855824614271,2285.8918684607033,3809.819780767839,1,0,0,1,2,3,4
139227,"duplex penthouse for sale in marbella golden mile. duplex apartment for sale in alhambra del mar, golden mile, marbella.","air conditioning, amenities near, dining room, garden view, guest toilet, kitchen equipped, living room, mountain view, panoramic view, pool view, private terrace, sea view, security entrance, solarium, transport near, utility room",0.0,317.0,0.0,1250000,1,1,0,Golden Mile,apartments,317.0,3943.217665615142,5135.613262929439,3851.709947197079,6419.516578661798,0,0,1,1,2,3,4
139359,"apartment for sale in las cañas beach, marbella golden mile. beachfront penthouse in las cañas, next to marbella city centre","air conditioning, amenities near, central heating, covered terrace, dining room, double glazing, fitted wardrobes, front line beach, fully fitted kitchen, gated community, guest room, guest toilet, kitchen equipped, laundry room, lift, living room, marble floors, private terrace, sea view, security service 24h, security shutters, storage room, transport near",166.0,196.0,0.0,1450000,0,1,0,Golden Mile,apartments,196.0,7397.959183673469,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
139423,"villa for sale in nagueles, marbella golden mile. the white pearl of nagueles","air conditioning, amenities near, balcony, barbeque, central heating, close to schools, close to shops, close to town, covered terrace, dining room, electric blinds, excellent condition, fireplace, fitted wardrobes, fully fitted kitchen, fully furnished, garden view, guest apartment, guest room, guest toilet, laundry room, living room, marble floors, mountain view, mountainside, panoramic view, pool view, private terrace, recently renovated/refurbished, satellite tv, separate apartment, storage room, study room, transport near, uncovered terrace, utility room",0.0,434.0,1434.0,1595000,1,0,0,Golden Mile,houses,434.0,3675.115207373272,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
139438,"los pinos de nagueles, garden apartment on the golden mile","lovely ground floor corner apartment within gated complex with 24 hour security, walking distance to marbella town and beach, private garden , east facing, swimming pool, social club and paddle tennis court, garage space, air conditioning",0.0,113.0,35.0,265125,1,0,1,Golden Mile,apartments,113.0,2346.238938053097,5135.613262929439,3851.709947197079,6419.516578661798,0,1,0,1,2,3,4
139506,"villa for sale in nagueles, marbella golden mile. the perfect villa to start a new life in nagueles","air conditioning, amenities near, balcony, central heating, close to schools, close to town, covered terrace, dining room, fireplace, fitted wardrobes, laundry room, living room, marble floors, mountainside, sea view, utility room",0.0,322.0,2095.0,1790000,0,1,0,Golden Mile,houses,322.0,5559.006211180124,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
